                                       ,                    Date                  ,                    Versus                  ,                    Ground                  ,                    D/N*                  ,                    How Dismissed                  ,                    Runs                  ,                    B/F                  ,                    S/R                  ,                    Aggr                  ,                    Avg                  ,                Cumulative    S/R                  
21,30/04/2009,                    Rajasthan Royals                  ,                    Buffalo Park                  ,                    &check;                  ,                    not out                  ,                    22*                  ,19,115.79,515,36.79,129.4
22,2/5/2009,                    Delhi Capitals                  ,                    Wanderers Stadium                  ,                    &check;                  ,                    c G Gambhir b D P Nannes                  ,6,7,85.71,521,34.73,128.64
23,4/5/2009,                    Deccan Chargers                  ,                    Buffalo Park                  ,                    &check;                  ,                    not out                  ,                    58*                  ,37,156.76,579,38.6,131
24,7/5/2009,                    Kings XI Punjab                  ,                    SuperSport Park                  ,                    &check;                  ,                    not out                  ,                    56*                  ,27,207.41,635,42.33,135.39
25,9/5/2009,                    Rajasthan Royals                  ,                    Diamond Oval                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,635,42.33,135.39
26,14/05/2009,                    Royal Challengers Bangalore                  ,                    Kingsmead                  ,,                    c & b R E van der Merwe                  ,18,20,90,653,40.81,133.54
27,16/05/2009,                    Mumbai Indians                  ,                    St George's Park                  ,,                    not out                  ,                    23*                  ,22,104.55,676,42.25,132.29
28,18/05/2009,                    Kolkata Knight Riders                  ,                    SuperSport Park                  ,                    &check;                  ,                    not out                  ,                    40*                  ,28,142.86,716,44.75,132.84
29,20/05/2009,                    Kings XI Punjab                  ,                    Kingsmead                  ,                    &check;                  ,                    b S Sreesanth                  ,2,2,100,718,42.24,132.72
30,23/05/2009,                    Royal Challengers Bangalore                  ,                    Wanderers Stadium                  ,                    &check;                  ,                    c R Vinay Kumar b R E van der Merwe                  ,28,30,93.33,746,41.44,130.65
31,14/03/2010,                    Deccan Chargers                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    b A Symonds                  ,42,29,144.83,788,41.47,131.33
32,16/03/2010,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    not out                  ,                    66*                  ,33,200,854,44.95,134.91
33,25/03/2010,                    Mumbai Indians                  ,                    Brabourne Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,854,44.95,134.91
34,28/03/2010,                    Rajasthan Royals                  ,                    Sardar Patel Stadium                  ,                    &check;                  ,                    run out                  ,21,19,110.53,875,43.75,134.2
35,31/03/2010,                    Royal Challengers Bangalore                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c R Dravid b D W Steyn                  ,14,19,73.68,889,42.33,132.49
36,3/4/2010,                    Rajasthan Royals                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c S  Narwal b S R Watson                  ,0,1,0,889,40.41,132.29
37,6/4/2010,                    Mumbai Indians                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c & b K A Pollard                  ,31,18,172.22,920,40,133.33
38,10/4/2010,                    Deccan Chargers                  ,                    Vidarbha Cricket Association Stadium                  ,                    &check;                  ,                    b P P Ojha                  ,7,13,53.85,927,38.63,131.86
